
Input State, Input Size, Selection, Insertion, Binary, Bubble, Shaker, Shell, Heap, Merge, Quick, Counting, Radix, Flash
Random, 1000,0.001,0.001,0.001,0.003,0.006,0,0,0.011,0,0,0.002,0
Random, 3000,0.012,0.007,0.004,0.015,0.056,0,0.001,0.028,0,0,0.003,0
Random, 10000,0.125,0.061,0.061,0.248,0.681,0.002,0.004,0.102,0.001,0.001,0.004,0.001
Random, 30000,1.068,0.562,0.378,2.168,7.061,0.011,0.045,0.482,0.003,0,0.005,0.001
Random, 100000,12.736,6.249,4.375,25.209,74.738,0.021,0.04,0.756,0.011,0.001,0.013,0.004
Sorted, 1000,0.001,0,0,0,0,0,0,0.01,0.001,0,0.002,0
Sorted, 3000,0.017,0,0,0,0,0,0.001,0.029,0,0,0.002,0
Sorted, 10000,0.122,0,0.003,0,0,0.001,0.003,0.113,0.001,0,0.004,0.001
Sorted, 30000,1.192,0,0.011,0,0,0.002,0.014,0.401,0.004,0.001,0.012,0.002
Sorted, 100000,11.33,0,0.033,0,0,0.005,0.039,0.851,0.008,0.002,0.014,0.003
Reversed, 1000,0.016,0.001,0.001,0.002,0.011,0,0,0.009,0,0,0.002,0
Reversed, 3000,0.13,0.009,0.008,0.015,0.136,0,0,0.025,0,0,0.002,0
Reversed, 10000,1.077,0.131,0.096,0.192,1.048,0.001,0.003,0.137,0.002,0,0.006,0.001
Reversed, 30000,11.443,0.959,0.625,1.456,11.002,0.002,0.01,0.236,0.002,0.001,0.005,0.001
Reversed, 100000,117.967,10.724,6.943,17.029,116.162,0.006,0.034,0.769,0.008,0.001,0.013,0.003
Nearly sorted, 1000,0.003,0,0,0,0,0,0,0.016,0,0,0.004,0
Nearly sorted, 3000,0.02,0,0.001,0,0,0,0.002,0.049,0.001,0,0.003,0
Nearly sorted, 10000,0.193,0,0.005,0,0,0,0.005,0.197,0.002,0.001,0.006,0.001
Nearly sorted, 30000,1.882,0,0.017,0.001,0,0.003,0.028,0.569,0.005,0.001,0.011,0.002
Nearly sorted, 100000,15.386,0.001,0.044,0,0.001,0.007,0.051,1.095,0.01,0.002,0.019,0.005
